# Calibration of the Cernox Sensor used for Dilatometry in the PPMS
# made by Jeremy Turcaud June 2013
# Temperature(K)	Resistance (Ohms)
2.0001	1272.52872
2.2009	1167.41564
2.39973	1083.36966
2.60068	1013.14737
2.80108	954.34423
2.99849	904.87325
3.20107	861.1784
3.4001	823.5316
3.60012	790.17406
3.79989	760.54381
3.99999	733.92113
4.20081	709.73621
4.6529	663.35263
5.05572	628.87062
5.55907	592.62852
6.26277	551.37761
7.07008	513.69697
8.0805	476.3127
9.08887	446.52844
10.10187	421.91646
11.11978	401.02627
12.13273	383.23311
13.13877	367.80481
14.13893	354.24252
15.13395	342.16005
16.11628	331.35575
17.09622	321.58393
18.07906	312.55697
19.05531	304.26127
20.03519	296.57082
21.11395	288.68914
22.70685	278.06005
24.28241	268.51928
25.87002	259.75969
27.47958	251.61457
29.09453	244.08511
30.91068	236.24476
33.02162	227.94492
36.02557	217.29358
39.02043	207.8412
42.0148	199.36271
45.01522	191.68428
48.01576	184.69862
50.01308	180.39011
55.01	170.61553
60.00896	162.06204
65.0045	154.48334
70.00005	147.71441
74.99782	141.61398
79.99275	136.08415
84.9907	131.02889
89.98732	126.39778
94.98331	122.13044
99.98728	118.17182
109.99301	111.05836
119.98897	104.86122
129.97773	99.38744
139.9749	94.50382
149.97661	90.11971
159.98166	86.16971
169.98715	82.58575
179.99379	79.31949
189.9938	76.3347
199.98829	73.60459
209.98685	71.0887
219.99665	68.76144
229.9925	66.6228
239.97973	64.63478
249.98419	62.77983
259.98501	61.06547
269.99083	59.45418
279.98507	57.95506
289.99684	56.55051
299.98876	55.23443
309.99843	53.99922
315.00234	53.40911
319.99813	52.83065
325.98432	52.17373
330.00128	51.7434
335	51.189
340	50.6835
345	50.19
350	49.7095
355	49.244
360	48.79
365	48.3465
370	47.918
375	47.497
380	47.0895
385	46.691
390	46.304
395	45.925
400	45.5565
