Field(Oe), Temperature(K), Capacitance(pF), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
0.105, 299.9963,  2.948933    , 62, 516, 1281, 297, 2156
0.105, 299.9951,  2.948925    , 94, 375, 1281, 297, 2047
0.105, 299.9975,  2.948929    , 94, 234, 1281, 219, 1828
0.105, 299.7414,  2.948929    , 47, 203, 1281, 297, 1828
0.105, 299.7245,  2.948923    , 47, 422, 1281, 235, 1985
0.105, 299.7082,  2.948920    , 31, 484, 1375, 266, 2156
0.105, 299.4767,  2.948919    , 32, 203, 1281, 219, 1735
0.105, 299.4433,  2.948922    , 62, 344, 1281, 282, 1969
0.105, 299.4087,  2.948933    , 93, 282, 1281, 265, 1921
0.105, 299.2026,  2.948930    , 31, 266, 1281, 219, 1797
0.105, 299.1407,  2.948921    , 62, 484, 1282, 218, 2046
0.105, 299.0756,  2.948935    , 63, 359, 1282, 281, 1985
0.105, 298.9543,  2.948923    , 62, 407, 1281, 219, 1969
0.105, 298.8667,  2.948922    , 31, 516, 1281, 203, 2031
0.105, 298.7811,  2.948935    , 47, 390, 1282, 234, 1953
0.105, 298.6782,  2.948906    , 47, 359, 1282, 406, 2094
0.105, 298.5710,  2.948933    , 31, 313, 1281, 297, 1922
0.105, 298.4624,  2.948912    , 62, 406, 1282, 281, 2031
0.105, 298.1890,  2.948909    , 31, 438, 1281, 234, 1984
0.105, 298.1068,  2.948912    , 47, 360, 1281, 234, 1922
0.105, 298.0396,  2.948902    , 47, 359, 1282, 265, 1953
0.105, 297.7267,  2.948877    , 47, 484, 1281, 235, 2047
0.105, 297.6936,  2.948877    , 62, 578, 1282, 296, 2218
0.105, 297.6608,  2.948879    , 63, 391, 1281, 250, 1985
0.105, 297.4833,  2.948859    , 62, 234, 1282, 343, 1921
0.105, 297.4715,  2.948886    , 32, 265, 1282, 281, 1860
0.105, 297.4762,  2.948851    , 78, -59719, 1281, 282, -58078
0.105, 297.2422,  2.948827    , 31, 390, 1282, 218, 1921
0.105, 297.2003,  2.948846    , 63, 359, 1282, 250, 1954
0.105, 297.1606,  2.948827    , 46, 344, 1281, 235, 1906
0.105, 296.9589,  2.948850    , 47, 359, 1281, 219, 1906
0.105, 296.9134,  2.948833    , 63, 359, 1281, 203, 1906
0.105, 296.8652,  2.948830    , 47, 625, 1282, 281, 2235
0.105, 296.7303,  2.948825    , 31, 219, 1281, 234, 1765
0.105, 296.6934,  2.948814    , 47, 360, 1281, 281, 1969
0.105, 296.6588,  2.948824    , 78, 266, 1281, 297, 1922
0.105, 296.4775,  2.948807    , 93, 235, 1281, 266, 1875
0.105, 296.4521,  2.948784    , 62, 313, 1281, 281, 1937
0.105, 296.4270,  2.948791    , 78, 282, 1281, 234, 1875
0.105, 296.2230,  2.948776    , 47, 109, 1281, 282, 1719
0.105, 296.1878,  2.948792    , 31, 453, 1281, 203, 1968
0.105, 296.1550,  2.948781    , 63, 125, 1281, 281, 1750
0.105, 295.9828,  2.948775    , 31, 312, 1282, 265, 1890
0.105, 295.9467,  2.948754    , 32, 328, 1281, 328, 1969
0.105, 295.9107,  2.948782    , 31, 407, 1281, 297, 2016
0.105, 295.7156,  2.948763    , 94, 422, 1281, 266, 2063
0.105, 295.6822,  2.948744    , 31, 328, 1281, 235, 1875
0.105, 295.6479,  2.948748    , 62, 344, 1281, 313, 2000
0.105, 295.4898,  2.948736    , 31, 172, 1281, 172, 1656
0.105, 295.4584,  2.948732    , 47, 406, 1281, 297, 2031
0.105, 295.4245,  2.948740    , 78, 406, 1282, 250, 2016
0.105, 295.2219,  2.948707    , 31, 172, 1281, 360, 1844
0.105, 295.1901,  2.948704    , 94, 187, 1281, 344, 1906
0.105, 295.1589,  2.948710    , 109, 188, 1281, 281, 1859
0.105, 294.9704,  2.948697    , 141, 406, 1281, 204, 2032
0.105, 294.9360,  2.948694    , 62, 359, 1282, 297, 2000
0.105, 294.9051,  2.948680    , 46, 297, 1282, 46, 1671
0.105, 294.7380,  2.948690    , 31, 125, 1281, 219, 1656
0.105, 294.7060,  2.948696    , 63, 359, 1281, 219, 1922
0.105, 294.6686,  2.948685    , 47, 484, 1281, 282, 2094
0.105, 294.4824,  2.948660    , 62, 484, 1282, 218, 2046
0.105, 294.4489,  2.948657    , 63, 359, 1282, 187, 1891
0.105, 294.4189,  2.948675    , 47, 406, 1281, 204, 1938
0.105, 294.2351,  2.948651    , 31, 203, 1282, 203, 1719
0.105, 294.1995,  2.948651    , 31, 656, 1282, 187, 2156
0.105, 294.1707,  2.948654    , 31, 63, 1281, 281, 1656
0.105, 293.9870,  2.948641    , 31, 391, 1281, 235, 1938
0.105, 293.9588,  2.948637    , 47, 125, 1281, 281, 1734
0.105, 293.9253,  2.948637    , 109, 250, 1282, 218, 1859
0.105, 293.7435,  2.948616    , 32, 218, 1282, 218, 1750
0.105, 293.7068,  2.948631    , 63, 359, 1281, 157, 1860
0.105, 293.6773,  2.948608    , 31, 453, 1281, 219, 1984
0.105, 293.4742,  2.948601    , 47, 203, 1281, 328, 1859
0.105, 293.4409,  2.948592    , 32, 406, 1281, 266, 1985
0.105, 293.4098,  2.948596    , 62, 313, 1281, 234, 1890
0.105, 293.2254,  2.948580    , 62, 297, 1281, 219, 1859
0.105, 293.1910,  2.948583    , 31, 391, 1281, 219, 1922
0.105, 293.1569,  2.948575    , 31, 516, 1281, 234, 2062
0.105, 292.9846,  2.948559    , 31, 297, 1281, 219, 1828
0.105, 292.9522,  2.948564    , 62, 360, 1281, 250, 1953
0.105, 292.9301,  2.948559    , 31, 125, 1282, 203, 1641
0.105, 292.7320,  2.948556    , 47, 422, 1281, 219, 1969
0.105, 292.7014,  2.948544    , 63, 375, 1281, 219, 1938
0.105, 292.6667,  2.948534    , 46, 485, 1281, 266, 2078
0.105, 292.4807,  2.948533    , 93, 219, 1281, 297, 1890
0.105, 292.4466,  2.948532    , 31, 297, 1282, 250, 1860
0.105, 292.4136,  2.948517    , 31, 484, 1281, 250, 2046
0.105, 292.2266,  2.948515    , 31, 187, 1282, 234, 1734
0.105, 292.1937,  2.948514    , 47, 359, 1282, 234, 1922
0.105, 292.1578,  2.948511    , 31, 485, 1281, 297, 2094
0.105, 291.9768,  2.948484    , 94, 109, 1282, 203, 1688
0.105, 291.9427,  2.948484    , 31, 516, 1281, 172, 2000
0.105, 291.9197,  2.948505    , 47, 62, 1281, 188, 1578
0.105, 291.7310,  2.948469    , 172, 343, 1282, 203, 2000
0.105, 291.6972,  2.948474    , 31, 516, 1281, 250, 2078
0.105, 291.6578,  2.948473    , 31, 594, 1281, 313, 2219
0.105, 291.4744,  2.948465    , 31, 328, 1281, 235, 1875
0.105, 291.4421,  2.948461    , 47, 359, 1281, 282, 1969
0.105, 291.4095,  2.948451    , 93, 266, 1281, 219, 1859
0.105, 291.2245,  2.948443    , 125, 406, 1281, 172, 1984
0.105, 291.1958,  2.948441    , 31, 94, 1281, 282, 1688
0.105, 291.1658,  2.948438    , 31, 312, 1282, 171, 1796
0.105, 290.9692,  2.948415    , 63, 469, 1281, 172, 1985
0.105, 290.9345,  2.948407    , 47, 422, 1281, 219, 1969
0.105, 290.8989,  2.948428    , 46, 485, 1281, 297, 2109
0.105, 290.7276,  2.948423    , 94, 422, 1281, 203, 2000
0.105, 290.6917,  2.948420    , 32, 531, 1281, 219, 2063
0.105, 290.6582,  2.948406    , 62, 469, 1281, 282, 2094
0.105, 290.4710,  2.948402    , 32, 500, 1281, 219, 2032
0.105, 290.4381,  2.948390    , 31, 516, 1281, 219, 2047
0.105, 290.4037,  2.948379    , 46, 485, 1281, 281, 2093
0.105, 290.2415,  2.948379    , 94, 110, 1281, 187, 1672
0.105, 290.2159,  2.948371    , 32, 62, 1281, 266, 1641
0.105, 290.1824,  2.948368    , 31, 344, 1281, 235, 1891
0.105, 289.9831,  2.948353    , 31, 359, 1281, 250, 1921
0.105, 289.9567,  2.948355    , 47, 344, 1281, 328, 2000
0.105, 289.9234,  2.948373    , 63, 250, 1281, 313, 1907
0.105, 289.7310,  2.948319    , 31, 438, 1281, 219, 1969
0.105, 289.7028,  2.948336    , 47, 484, 1281, 188, 2000
0.105, 289.6728,  2.948330    , 31, 62, 1282, 250, 1625
0.105, 289.4680,  2.948324    , 93, 360, 1281, 203, 1937
0.105, 289.4386,  2.948334    , 31, 157, 1281, 187, 1656
0.105, 289.4122,  2.948325    , 32, 62, 1281, 235, 1610
0.105, 289.2194,  2.948298    , 32, 578, 1281, 266, 2157
0.105, 289.1898,  2.948330    , 62, 297, 1281, 250, 1890
0.105, 289.1548,  2.948309    , 32, 359, 1281, 219, 1891
0.105, 288.9858,  2.948299    , 31, 172, 1281, 282, 1766
0.105, 288.9535,  2.948293    , 47, 312, 1281, 250, 1890
0.105, 288.9171,  2.948305    , 47, 469, 1281, 328, 2125
0.105, 288.7238,  2.948291    , 94, 360, 1281, 219, 1954
0.105, 288.6894,  2.948281    , 62, 469, 1281, 219, 2031
0.105, 288.6538,  2.948279    , 31, 516, 1281, 250, 2078
0.105, 288.4681,  2.948270    , 125, 343, 1282, 234, 1984
0.105, 288.4355,  2.948255    , 47, 469, 1281, 187, 1984
0.105, 288.4100,  2.948255    , 32, 62, 1281, 235, 1610
0.105, 288.2267,  2.948268    , 78, 360, 1281, 250, 1969
0.105, 288.1935,  2.948252    , 141, 250, 1281, 297, 1969
0.105, 288.1597,  2.948251    , 93, 375, 1282, 265, 2015
0.105, 287.9708,  2.948239    , 109, 313, 1281, 266, 1969
0.105, 287.9377,  2.948253    , 93, 266, 1281, 265, 1921
0.105, 287.9059,  2.948263    , 79, 281, 1281, 203, 1844
0.105, 287.7226,  2.948224    , 94, 359, 1281, 156, 1906
0.105, 287.6927,  2.948236    , 31, 438, 1281, 281, 2031
0.105, 287.6589,  2.948237    , 110, 234, 1281, 219, 1844
0.105, 287.4718,  2.948227    , 31, 453, 1282, 218, 1984
0.105, 287.4395,  2.948232    , 47, 485, 1281, 297, 2110
0.105, 287.4045,  2.948237    , 109, 235, 1281, 234, 1859
0.105, 287.2160,  2.948216    , 31, 485, 1281, 187, 2000
0.105, 287.1813,  2.948203    , 63, 484, 1281, 187, 2031
0.105, 287.1464,  2.948216    , 32, 515, 1282, 250, 2079
0.105, 286.9641,  2.948206    , 62, 94, 1281, 235, 1672
0.105, 286.9333,  2.948208    , 47, 359, 1281, 235, 1922
0.105, 286.8969,  2.948206    , 47, 468, 1282, 218, 2015
0.105, 286.7392,  2.948200    , 31, 172, 1281, 188, 1672
0.105, 286.7130,  2.948206    , 31, 47, 1281, 297, 1656
0.105, 286.6825,  2.948197    , 78, 266, 1281, 250, 1875
0.105, 286.4766,  2.948194    , 94, 265, 1281, 282, 1922
0.105, 286.4452,  2.948190    , 31, 328, 1281, 282, 1922
0.105, 286.4079,  2.948197    , 46, 422, 1282, 250, 2000
0.105, 286.2217,  2.948191    , 94, 438, 1281, 219, 2032
0.105, 286.1859,  2.948181    , 46, 485, 1281, 250, 2062
0.105, 286.1574,  2.948195    , 47, 344, 1281, 234, 1906
0.105, 285.9732,  2.948165    , 109, 484, 1282, 203, 2078
0.105, 285.9380,  2.948177    , 31, 406, 1281, 266, 1984
0.105, 285.9069,  2.948167    , 109, 266, 1281, 203, 1859
0.105, 285.7375,  2.948167    , 31, 454, 1281, 219, 1985
0.105, 285.7025,  2.948168    , 46, 500, 1282, 203, 2031
0.105, 285.6688,  2.948154    , 31, 516, 1281, 234, 2062
0.105, 285.4873,  2.948151    , 31, 297, 1281, 219, 1828
0.105, 285.4532,  2.948159    , 62, 360, 1281, 203, 1906
0.105, 285.4230,  2.948154    , 31, 516, 1281, 297, 2125
0.105, 285.2401,  2.948133    , 31, 125, 1281, 235, 1672
0.105, 285.2054,  2.948136    , 46, 594, 1281, 219, 2140
0.105, 285.1738,  2.948146    , 63, 359, 1281, 266, 1969
0.105, 284.9784,  2.948136    , 47, 297, 1281, 281, 1906
0.105, 284.9440,  2.948129    , 47, 203, 1282, 187, 1719
0.105, 284.9093,  2.948132    , 31, 532, 1281, 219, 2063
0.105, 284.7244,  2.948131    , 63, 187, 1375, 344, 1969
0.105, 284.6953,  2.948097    , 31, 157, 1281, 281, 1750
0.105, 284.6589,  2.948118    , 110, 250, 1281, 265, 1906
0.105, 284.4716,  2.948106    , 79, 515, 1281, 219, 2094
0.105, 284.4408,  2.948102    , 63, 359, 1281, 328, 2031
0.105, 284.4056,  2.948103    , 63, 359, 1282, 218, 1922
0.105, 284.2201,  2.948092    , 31, 532, 1281, 219, 2063
0.105, 284.1884,  2.948080    , 62, 359, 1282, 234, 1937
