Field(Oe), Temperature(K), Resisitivity(Ohm), Capacitance(pF), Loss(nS), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
105.126, 270.0042, 59.3620758,  4.24819     ,  0.00079     , 109, 250, 1328, 281, 1968
569.683, 270.0051, 59.3639984,  4.248160    ,  0.00079     , 109, 422, 1266, 297, 2094
1059.723, 270.0005, 59.3628693,  4.248148    ,  0.00086     , 110, 62, 1282, 281, 1750
1485.323, 270.0003, 59.3641129,  4.248119    ,  0.00082     , 63, 125, 1281, 281, 1750
2106.334, 269.9996, 59.3634338,  4.248107    ,  0.00085     , 63, 359, 1281, 266, 1969
2522.425, 269.9990, 59.3635483,  4.248080    ,  0.00100     , 31, 125, -58719, 344, -58219
2936.622, 270.0004, 59.3625298,  4.248070    ,  0.00086     , 32, 62, 1281, 282, 1657
3484.063, 269.9989, 59.3624153,  4.24802     ,  0.00088     , 47, 406, 1281, 204, 1938
3876.588, 270.0168, 59.3636589,  4.24799     ,  0.00092     , 31, 297, 1281, 235, 1844
4421.373, 270.0101, 59.3630943,  4.247951    ,  0.00092     , 31, 187, 1328, 235, 1781
4930.988, 270.0065, 59.3641052,  4.24790     ,  0.00082     , 31, 390, 1282, 328, 2046
5344.422, 269.9991, 59.3638802,  4.24786     ,  0.00095     , 62, 359, 1282, 297, 2000
5862.971, 269.9969, 59.3622932,  4.247809    ,  0.00095     , 47, 344, 1281, 235, 1907
6364.226, 269.9930, 59.3649025,  4.24780     ,  0.00082     , 47, 187, 1281, 219, 1734
6879.735, 269.9955, 59.3641052,  0     ,  0.00091     , 31, 406, 1281, 297, 2015
7263.893, 269.9937, 59.3628578,  4.247678    ,  0.00086     , 31, 94, 1281, 313, 1719
7758.685, 269.9961, 59.3636513,  4.247616    ,  0.00092     , 78, 265, 1282, 281, 1906
8251.001, 269.9991, 59.3638802,  4.247547    ,  0.00086     , 31, 78, 1281, 282, 1672
8743.892, 269.9996, 59.3643303,  4.247468    ,  0.00086     , 32, 62, 1281, 329, 1704
9216.251, 270.0020, 59.3646698,  -456645    ,  0.00091     , 31, 406, 1282, 218, 1937
9738.414, 270.0034, 59.3636513,  4.247276    ,  0.00092     , 31, 172, 1281, 344, 1828
10233.204, 270.0029, 59.3643303,  4.247161    ,  0.00098     , 31, 422, 1422, 390, 2281
10639.035, 270.0020, 59.3633118,  4.247102    ,  0.00100     , 156, 282, 1281, 265, 1984
11132.686, 269.9902, 59.3627472,  -56    ,  0.00088     , 32, 203, 1281, 297, 1813
11649.712, 269.9915, 59.3630867,  4.246838    ,  0.00098     , 62, 125, 1282, 281, 1750
11990.343, 269.9955, 59.3632011,  4.24673     ,  0.00082     , 63, 93, 1282, 281, 1719
12615.910, 269.9989, 59.3599510,  4.246521    ,  0.00088     , 47, 313, 1281, 312, 1969
13000.831, 510 , 59.3608589,  4.246369    ,  0.00090     , 47, 78, 1282, 296, 1703
13474.340, 270.0045, 59.3605194,  4.24613     ,  0.00092     , 62, 125, 1282, 281, 1750
13967.420, 270.0031, 59.3604050,  4.245839    ,  0.00098     , 31, 407, 1281, 219, 1938
14491.675, 270.0062, 59.3590469,  4.245342    ,  0.00096     , 31, 422, 1281, 203, 1937
14870.134, 270.0025, 59.3592720,  4.244915    ,  0.00104     , 109, 94, 1422, 296, 1921
15394.191, 270.0004, 59.3591576,  4.244174    ,  0.00091     , 32, 203, 1281, 281, 1797
15908.943, 270.0029, 59.3602905,  4.243064    ,  0.00088     , 63, 234, 1282, 296, 1875
16425.973, 270.0000, 59.3609695,  4.24154     ,  0.00092     , 31, 391, 1328, 234, 1984
16812.035, 270.0002, 59.3611984,  4.23994     ,  0.00094     , 47, 78, 1329, 296, 1750
17307.203, 269.9976, 59.3602905,  4.23730     ,  0.0009      , 31, 313, -58672, 281, -58047
17851.605, 269.9977, 59.3596115,  4.23478     ,  0.00082     , 62, 172, 1281, 344, 1859
18347.916, 269.9998, 59.3596115,  4.232285    ,  0.00083     , 31, 344, 1281, 282, 1938
18732.646, 270.0152, 59.3593864,  4.230561    ,  0.00088     , 47, 188, 1281, 281, 1797
19227.055, 270.0089, 59.3598404,  4.228380    ,  0.00095     , 62, 125, 1282, 281, 1750
19723.174, 270.0025, 59.3625259,  4.22657     ,  0.00101     , 32, 406, 1281, 234, 1953
20240.014, 269.9995, 59.3638878,  4.22513     ,  0.0011      , 32, 406, 1281, 344, 2063
20648.125, 269.9942, 59.3642273,  4.22396     ,  0.00101     , 31, 531, 1282, 281, 2125
21185.873, 269.9940, 59.3635483,  4.22254     ,  0.00112     , 62, 360, 1281, 219, 1922
21688.078, 269.9947, 59.3628693,  4.22151     ,  0.00115     , 31, 63, 1281, 312, 1687
22045.623, 269.9959, 59.3624153,  4.22087     ,  0.00110     , 31, 157, 1281, 219, 1688
22679.174, 269.9973, 59.3639984,  4.21981     ,  0.00101     , 32, 312, 1281, 313, 1938
23065.234, 269.9990, 59.3624153,  4.21928     ,  0.0010      , 78, 328, 1281, 329, 2016
23581.500, 269.9996, 59.3623009,  4.21856     ,  0.00114     , 63, 359, 1282, 218, 1922
24098.342, 270.0025, 59.3619614,  4.21817     ,  0.00108     , 31, 172, 1281, 235, 1719
24440.873, 270.0031, 59.3607140,  4.21796     ,  0.00101     , 94, 109, 1281, -59718, -58234
25074.234, 270.0008, 59.3630943,  4.21746     ,  0.00096     , 47, 375, 1282, 296, 2000
25453.072, 270.0031, 59.3623009,  4.21729     ,  0.00100     , 62, 125, 1282, 313, 1797
25955.465, 269.9956, 59.3618469,  4.21703     ,  0.00101     , 94, 109, 1328, 297, 1828
26451.012, 269.9979, 59.3626404,  4.21679     ,  0.00109     , 125, 94, 1281, 266, 1766
26924.133, 269.9975, 59.3657684,  4.21653     ,  0.00095     , 46, 407, 1281, 281, 2015
27442.111, 270.0006, 59.3673553,  4.21632     ,  0.00113     , 31, 78, 1282, 297, 1688
27937.279, 270.0022, 59.3654289,  4.21612     ,  0.00107     , 78, 344, 1421, 375, 2234
28345.008, 270.0038, 59.3661079,  4.21596     ,  0.00105     , 63, 125, 1281, 281, 1750
28818.701, 270.0035, 59.3663330,  4.21579     ,  0.00107     , 31, 63, 1281, 281, 1656
29311.967, 270.0045, 59.3667870,  4.21562     ,  0.00098     , 31, 406, 1281, 235, 1953
29814.359, 270.0003, 59.3667870,  4.21542     ,  0.00101     , 110, 78, 1281, 281, 1750
30310.096, 270.0043, 59.3652000,  4.21525     ,  0.00114     , 109, 359, 1282, 281, 2031
30695.018, 270.0000, 59.3657684,  4.21513     ,  0.00111     , 125, 437, 1422, 375, 2359
31255.383, 269.9998, 59.3673553,  4.21494     ,  0.00113     , 31, 219, 1281, 281, 1812
31750.176, 269.9986, 59.3669052,  4.21477     ,  0.00105     , 32, 62, -58719, 282, -58343
32222.912, 269.9994, 59.3666725,  4.21462     ,  0.00098     , 47, 78, 1281, 266, 1672
32696.221, 270.0025, 59.3675842,  4.21450     ,  0.00093     , 63, 359, 1282, 234, 1938
33104.141, 269.9910, 59.3656540,  4.21435     ,  0.00106     , 125, 343, 1282, 406, 2156
33627.824, 269.9948, 59.3665619,  4.21420     ,  0.00103     , 47, 281, 1281, 328, 1937
34145.039, 269.9981, 59.3646431,  4.21403     ,  0.00100     , 47, 375, 1281, 313, 2016
34501.828, 270.0011, 59.3654366,  4.21393     ,  0.00098     , 32, 156, 1281, 219, 1688
35002.695, 270.0013, 59.3647575,  4.21380     ,  0.00108     , 47, 62, 1281, 250, 1640
35477.910, 270.0070, 59.3647575,  4.21366     ,  0.00111     , 31, 172, 1281, 250, 1734
35992.844, 270.0059, 59.3660011,  4.21351     ,  0.00106     , 31, 406, 1282, 218, 1937
36510.063, 270.0037, 59.3652077,  4.21336     ,  0.00102     , 109, 359, 1422, 312, 2218
36918.363, 270.0020, 59.3646431,  4.21324     ,  0.00109     , 78, 234, 1282, 265, 1859
37436.152, 269.9992, 59.3632851,  4.21312     ,  0.00107     , 32, 406, 1281, 281, 2000
37958.504, 269.9989, 59.3638496,  4.21295     ,  0.00107     , 31, 359, 1329, 296, 2015
38337.719, 270.0006, 59.3661156,  4.21285     ,  0.00107     , 31, 328, 1282, 312, 1953
38883.070, 270.0006, 59.3650970,  4.21274     ,  0.00098     , 32, 281, 1281, 219, 1813
39377.098, 269.9998, 59.3652077,  4.21262     ,  0.00103     , 47, 62, 1281, 328, 1718
39892.984, 269.9997, 59.3630562,  4.21248     ,  0.00098     , 32, 312, 1281, 235, 1860
40256.422, 270.0005, 59.3640747,  4.21239     ,  0.00104     , 109, 78, 1281, 235, 1703
40752.355, 270.0016, 59.3639641,  4.21229     ,  0.00107     , 31, 125, 1282, 359, 1797
41246.762, 269.9999, 59.3643036,  4.21217     ,  0.00106     , 31, 62, 1282, 234, 1609
41719.309, 269.9995, 59.3675499,  4.21207     ,  0.00110     , 31, 391, 1281, 250, 1953
42265.039, 270.0014, 59.3666458,  4.21192     ,  0.00106     , 46, 391, 1281, 328, 2046
42651.098, 269.9998, 59.3684578,  4.21186     ,  0.00100     , 31, 78, 1281, 234, 1640
43123.078, 270.0012, 59.3653984,  4.21177     ,  0.00110     , 31, 156, 1281, 235, 1703
43619.578, 269.9986, 59.3663063,  4.21166     ,  0.00103     , 31, 78, 1281, 188, 1578
44092.695, 270.0020, 59.3682289,  4.21153     ,  0.00111     , 62, 94, 1281, 328, 1765
44608.773, 269.9987, 59.3644943,  4.21143     ,  0.00115     , 47, 312, 1281, 297, 1937
45103.750, 270.0019, 59.3648338,  4.21131     ,  0.00111     , 31, 375, 1282, 296, 1984
