Temperature             Resistance
(Kelvin)                (Ohms)

1.20041638230464E+00   2.85982299930101E+04
1.29903455989474E+00   2.35024891119107E+04
1.39894713675326E+00   1.97208682912118E+04
1.60388615991584E+00   1.45768363698422E+04
1.79891498218187E+00   1.15529237907774E+04
2.00107638955686E+00   9.45373039429148E+03
2.20383776625311E+00   7.97105073253805E+03
2.40225529258894E+00   6.89724266226616E+03
2.60083881615569E+00   6.07483110096114E+03
2.79974707313043E+00   5.42729836929544E+03
3.00272496112216E+00   4.89684021171118E+03
3.20090899082242E+00   4.47351587583787E+03
3.39933641513746E+00   4.12002697654621E+03
3.60197293772413E+00   3.81635606035743E+03
3.80142664327803E+00   3.56037883214015E+03
3.99589989627355E+00   3.34445456065228E+03
4.19703402586951E+00   3.14917682829680E+03
4.62772042842584E+00   2.80723728115117E+03
5.03732460489895E+00   2.54980188521413E+03
5.54793503125169E+00   2.29563375567523E+03
6.26324496006508E+00   2.02441251061627E+03
7.08216216775492E+00   1.79300935653628E+03
8.10964672662826E+00   1.57781428842221E+03
9.13665830145765E+00   1.41643849980556E+03
1.01639358085449E+01   1.29023475655007E+03
1.11857683596472E+01   1.18902208701476E+03
1.21997418423834E+01   1.10580712816959E+03
1.32023387781079E+01   1.03616321496235E+03
1.41971628068510E+01   9.76653770645797E+02
1.51824513122205E+01   9.25213409472389E+02
1.61618841824100E+01   8.79952048086119E+02
1.71387003938746E+01   8.39693046570743E+02
1.80703748682572E+01   8.05019019124551E+02
1.90510677440847E+01   7.72024652502542E+02
2.00321791412999E+01   7.41814206692729E+02
2.11107154420169E+01   7.11546929123914E+02
2.26994562528018E+01   6.71611783311029E+02
2.42949212404579E+01   6.36227971038060E+02
2.58911701323177E+01   6.04627449274278E+02
2.74992154244648E+01   5.76081438233427E+02
2.91126711873626E+01   5.50236701987874E+02
3.09257835450613E+01   5.23879895145285E+02
3.30344932915641E+01   4.96453094923571E+02
3.60358970142814E+01   4.62223275236225E+02
3.90325171597879E+01   4.32649348442952E+02
4.20278358791623E+01   4.06800740618226E+02
4.50188610121355E+01   3.84008427516408E+02
4.80227359570626E+01   3.63625956030522E+02
5.00164776654590E+01   3.51281442680093E+02
5.50147900921720E+01   3.23857682624242E+02
6.00168289741464E+01   3.00509225179651E+02
6.50202324577065E+01   2.80370035803364E+02
7.00233557819891E+01   2.62809422508792E+02
7.50206822980074E+01   2.47363323684927E+02
8.00188914960575E+01   2.33663525476962E+02
8.50127673160999E+01   2.21415345058836E+02
9.00117661930024E+01   2.10367895513929E+02
9.50028307547098E+01   2.00388461135158E+02
9.99965610306604E+01   1.91285576567327E+02
1.10004869145269E+02   1.75327016509936E+02
1.20011886959113E+02   1.61767524100846E+02
1.30006219472056E+02   1.50130365059765E+02
1.39998582490956E+02   1.40013862299111E+02
1.49992728408571E+02   1.31143914848346E+02
1.59990734060185E+02   1.23299634863473E+02
1.69992052505216E+02   1.16327672482287E+02
1.79992977365155E+02   1.10094587554244E+02
1.89988762556673E+02   1.04485848639045E+02
1.99984513721619E+02   9.94356284066798E+01
2.09991853030473E+02   9.48316501298091E+01
2.19991236485965E+02   9.06529244798335E+01
2.29984240623690E+02   8.68270608964893E+01
2.39979690598401E+02   8.33356302297989E+01
2.49987936330866E+02   8.01137467722014E+01
2.59976730143138E+02   7.71494130240767E+01
2.69988050524255E+02   7.44128410209414E+01
2.79975380652273E+02   7.18878491134783E+01
2.89988238107490E+02   6.95359842496625E+01
2.99984779832740E+02   6.73471483202847E+01
3.09983854755378E+02   6.53078669285727E+01
3.19971668656347E+02   6.34094029883011E+01
3.31434431096952E+02   6.13774839528572E+01
3.39374399023017E+02   6.00503166233020E+01
3.49332620169999E+02   5.84880727874645E+01
3.59278360679857E+02   5.70191142285921E+01
3.69240858805941E+02   5.56374906474531E+01
3.79248940795484E+02   5.43271222033928E+01
3.89233949657851E+02   5.30955578385740E+01
3.99224319818323E+02   5.19292969659755E+01
4.09214115157398E+02   5.08288575640298E+01
4.19205323565947E+02   4.97839287032370E+01
4.24200272333982E+02   4.92792134762921E+01
